Head,Date,Url
[전체] [국제개발평가센터] 2026년 K-대학생 우수 프로젝트 작품 해외 교류회 참가 팀 모집,2026-06-25,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766693&srCampus=smu&article.offset=0&articleLimit=10
[전체] [서울지방고용노동청] 서울지역 청년을 위한『고용24 취업특강(취업Dreamers)』운영 안내(7월),2026-06-24,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766677&srCampus=smu&article.offset=0&articleLimit=10
[전체] 2026학년도 하계 해외 어학연수 프로그램 참가자 모집(독일어권),2026-06-24,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766672&srCampus=smu&article.offset=0&articleLimit=10
[전체] [상명소셜임팩트센터] 아트센터 나비 전시 운영보조 자원봉사자 모집 공고,2026-06-23,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766656&srCampus=smu&article.offset=0&articleLimit=10
"[전체] 학술정보관 시스템(홈페이지, 모바일앱 등) 일시중지 안내: 2026. 6. 24.(수)",2026-06-23,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766667&srCampus=smu&article.offset=0&articleLimit=10
[전체] [교육혁신추진팀] 2026-1학기 상명피날레 시행 안내(서울/천안),2026-06-23,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766655&srCampus=smu&article.offset=0&articleLimit=10
[전체] [학사운영팀] 2026학년도 하계 특별학기 개설 교과목 확정 안내,2026-06-23,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766649&srCampus=smu&article.offset=0&articleLimit=10
[전체] [취업진로지원팀] 취업준비콘서트 일자리톡톡 안내_현대오토에버,2026-06-23,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766640&srCampus=smu&article.offset=0&articleLimit=10
[전체] [취업진로지원팀] 취업준비콘서트 일자리톡톡 안내_한국은행,2026-06-23,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766639&srCampus=smu&article.offset=0&articleLimit=10
[전체] [취업진로지원팀] 일자리톡톡 안내_LG CNS,2026-06-23,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766638&srCampus=smu&article.offset=0&articleLimit=10
[전체] [산학협력지원팀] 산학협력 마일리지 활용사업(국가공인 신용상담사 자격 지원) 신청 안내,2026-06-23,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766636&srCampus=smu&article.offset=0&articleLimit=10
[전체] [교수학습혁신센터(서울)] 2026학년도 1학기 학생 디지털 역량강화 교육_2차 특강,2026-06-19,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766595&srCampus=smu&article.offset=0&articleLimit=10
[전체] 2026-2학기 대상 휴학·복학 신청 안내,2026-06-19,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766591&srCampus=smu&article.offset=0&articleLimit=10
[전체] [취업진로지원팀] 6월 4주차 주간 채용(인턴) 정보,2026-06-19,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766588&srCampus=smu&article.offset=0&articleLimit=10
[전체] [인문사회 융합인재양성사업단] HUSS 홍보대사 HUGS 4기와 함께하는 ‘AI 활용 인문사회 시각화 공모전’ 안내,2026-06-18,https://www.smu.ac.kr/kor/life/notice.do?mode=view&articleNo=766571&srCampus=smu&article.offset=0&articleLimit=10
[컴과] [선후배] 2026학년도 1학기 융합공과대학 선후배이어주기 만족도 조사 참여 안내(~6.26.(금)),2026-06-17,https://cs.smu.ac.kr/cs/community/notice.do?mode=view&articleNo=766535&article.offset=0&articleLimit=10
